Generation	Average	Best
884	0.7264	0.9607
885	0.755	0.9576
886	0.7363	0.9631
887	0.7417	0.9609
888	0.7253	0.9634
889	0.7199	0.9558
890	0.6906	0.9491
891	0.7257	0.9461
892	0.6661	0.9382
893	0.6935	0.9512
894	0.6852	0.9481
895	0.691	0.9482
896	0.6453	0.9241
897	0.6181	0.9486
898	0.6955	0.9403
899	0.6891	0.9282
900	0.6776	0.9469
901	0.6775	0.9407
902	0.6535	0.9536
903	0.6863	0.9574
904	0.7	0.9531
905	0.7311	0.9444
906	0.7668	0.9448
907	0.7833	0.9514
908	0.7171	0.9566
909	0.729	0.9549
910	0.7037	0.9551
911	0.7452	0.9632
912	0.7839	0.9482
913	0.7804	0.952
914	0.7291	0.9607
915	0.7251	0.963
916	0.7641	0.954
917	0.7832	0.9611
918	0.7635	0.9551
919	0.7128	0.9487
920	0.7282	0.9655
921	0.7251	0.9524
922	0.7653	0.9566
923	0.7766	0.9409
924	0.7602	0.9501
925	0.7346	0.9514
926	0.7228	0.9492
927	0.734	0.9576
928	0.7426	0.96
929	0.7553	0.9525
930	0.7289	0.9533
931	0.7691	0.9444
932	0.7697	0.9557
933	0.8002	0.9571
934	0.7821	0.9598
935	0.7941	0.9655
936	0.7405	0.9462
937	0.7605	0.949
938	0.7645	0.9614
939	0.7896	0.9537
940	0.7666	0.9585
941	0.7346	0.9625
942	0.7418	0.9563
943	0.7349	0.9572
944	0.7697	0.9609
945	0.7756	0.9597
946	0.7466	0.9611
947	0.7635	0.9596
948	0.7788	0.9587
949	0.7912	0.9558
950	0.7599	0.9593
951	0.7915	0.9603
952	0.7496	0.9581
953	0.7532	0.9565
954	0.7624	0.9568
955	0.7475	0.9585
956	0.7472	0.9624
957	0.7645	0.9587
958	0.7626	0.9588
959	0.7376	0.958
960	0.7604	0.9589
961	0.7894	0.949
962	0.7807	0.9558
963	0.7681	0.9574
964	0.7521	0.9532
965	0.781	0.9521
966	0.7863	0.9554
967	0.7419	0.9576
968	0.7559	0.9567
969	0.8046	0.9554
970	0.8214	0.9537
971	0.8036	0.9626
972	0.7847	0.963
973	0.7871	0.9593
974	0.793	0.9588
975	0.7643	0.9564
976	0.7451	0.9632
977	0.7873	0.9598
978	0.7547	0.9654
979	0.7949	0.9612
980	0.767	0.9629
981	0.7272	0.9605
982	0.7622	0.9574
983	0.8179	0.9606
984	0.7928	0.9584
985	0.7903	0.9527
986	0.717	0.9484
987	0.7329	0.9602
988	0.8161	0.9603
989	0.7607	0.9678
990	0.8083	0.9591
991	0.7939	0.9579
992	0.8102	0.9557
993	0.7399	0.9566
994	0.7912	0.9634
995	0.8114	0.9588
996	0.7981	0.9611
997	0.8278	0.9635
998	0.799	0.9591
999	0.7447	0.9529
1000	0.7334	0.9566
1001	0.6691	0.9525
